Position,"Track Name",Artist,Streams,URL
1,"Easy On Me",Adele,7627886,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
2,"STAY (with Justin Bieber)","The Kid LAROI",6113877,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",5393564,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
4,"Heat Waves","Glass Animals",4306638,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
5,"Cold Heart - PNAU Remix","Elton John",3963849,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
6,MONEY,LISA,3915017,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
7,Shivers,"Ed Sheeran",3846013,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
8,"Bad Habits","Ed Sheeran",3564185,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
9,"My Universe",Coldplay,3560589,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
10,Pepas,Farruko,3556083,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
11,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",3519907,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
12,Woman,"Doja Cat",3342093,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
13,"love nwantiti (ah ah ah)",CKay,3076900,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
14,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,3007766,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
15,"THATS WHAT I WANT","Lil Nas X",2789680,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
16,"good 4 u","Olivia Rodrigo",2787772,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
17,"Need to Know","Doja Cat",2743606,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
