Position,"Track Name",Artist,URL
1,"Por Supuesto","Marina Sena",https://open.spotify.com/track/7xVSNhAUQhUIpwfR6lTOwA
2,"Leni (Crystal Castles)","on the way to catharsis",https://open.spotify.com/track/6PNalfPNYYPIlXW8DO1yAK
3,"Nuestra Canción","Monsieur Periné",https://open.spotify.com/track/5reQI13tWWYDLMrGcUF4Mk
4,"see you later (ten years)","Jenna Raine",https://open.spotify.com/track/5elofKuRmgZmCVImWT6JtE
5,"all I want is you",Rebzyyx,https://open.spotify.com/track/7lOvJBqH38ZY59eLU7bioq
6,"I Love You So","The Walters",https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
7,"Я буду ебать",Moreart,https://open.spotify.com/track/3lFrFQcZWPLa8WEG7xoc4b
8,Toxic,BoyWithUke,https://open.spotify.com/track/2kaNmAbqrtOf7Rdr3fnCWl
9,Pagsamo,"Arthur Nery",https://open.spotify.com/track/34YfLWuoxLEcvJQNxdI9P2
10,Chitta,"Manan Bhardwaj",https://open.spotify.com/track/6JUQViD0hLXlvWXCV4uUF8
11,masquerade,Siouxxie,https://open.spotify.com/track/64EA2RKyciBwCuVczLH6Ct
12,Notion,"The Rare Occasions",https://open.spotify.com/track/4cHKd6qPMR1TMx55KHlida
13,"Do It To It",ACRAZE,https://open.spotify.com/track/20on25jryn53hWghthWWW3
14,"Shiddat Title Track (From ""Shiddat"")","Manan Bhardwaj",https://open.spotify.com/track/6CTN8S2qzPwZdwwp0Nugvy
15,MONEY,LISA,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
16,"Está Dañada","Ivan Cornejo",https://open.spotify.com/track/6G2xXQRSZlEzYsUEb3uvuR
17,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
18,"Pink Soldiers",23,https://open.spotify.com/track/7AUCyNjckeQBBnKol7MZ59
19,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
20,"The Red Means I Love You","Madds Buckley",https://open.spotify.com/track/5pLbM4PU1wZyMvoQyEAorp
21,Amsterdam,FLEMMING,https://open.spotify.com/track/7lP1zUASWfS5TLBdQDj3DA
22,"love nwantiti (ah ah ah)",CKay,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
23,"Coração Cachorro","Avine Vinny",https://open.spotify.com/track/2RGIuYTsyyHoOCqW0krvNE
24,Szafir,Mata,https://open.spotify.com/track/5sGv8YdAa3XjggnbpF9NC9
25,"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage","Skylar Grey",https://open.spotify.com/track/5W8HXMOMLtXLz0RGKUtnlZ
26,"The Feels",TWICE,https://open.spotify.com/track/6pgqZ7Iw4LfHlfgWWaRFSY
27,"Quanto ti vorrei",chiello,https://open.spotify.com/track/2KdcUxAJWAARnGTWmSWxwu
28,ONLY,LeeHi,https://open.spotify.com/track/6TBJkXHPhu3EsMk1bshwuI
29,Baba,"Ayaz Erdoğan",https://open.spotify.com/track/4WVOnhv2a3vvBAzHbmdGHW
30,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)","DJ Patrick Muniz",https://open.spotify.com/track/0DsPj89zlY3Us7xb5cXK5h
31,22,"Lil Candy Paint",https://open.spotify.com/track/15IGf3G6KnGslXgu1JGUnJ
32,lutang,jikamarie,https://open.spotify.com/track/6jB7cmxRuvf5QUxYl73q0o
33,"Somebody's Watching Me",Rockwell,https://open.spotify.com/track/7jwQlYGpOml9ETGre1HqGA
34,Disaster,"KSLV Noh",https://open.spotify.com/track/0PGAJ37n4O2AslZosr1YGx
35,"Meet Me At Our Spot","THE ANXIETY",https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
36,"Cold Heart - PNAU Remix","Elton John",https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
37,"23 (With Ape Drums)",Randy,https://open.spotify.com/track/4vv8wcnT04GHHbUCFBAiHF
38,"My Universe",Coldplay,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
39,Putariazinha,"Felipe Amorim",https://open.spotify.com/track/2jwrYBGz7osKI31v50bS7b
40,"Honey, Cy","DJ Smuddpurpp",https://open.spotify.com/track/54EM6J28NML0u0WE2Y0HAy
41,"Niemals Allein",SOPHIA,https://open.spotify.com/track/6Mqh9nRS9ksN38qaaa6ZR0
42,"In My Mind","Lyn Lapid",https://open.spotify.com/track/2W779g2UrRZtVdf3FcEOO1
43,"lemme land?",Canking,https://open.spotify.com/track/4Fmr4dbY1sZiX77ZbljNFC
44,"Two Moons",BoyWithUke,https://open.spotify.com/track/5GxUKIEkMXXZo1Tif0IzfC
45,"Close Eyes",DVRST,https://open.spotify.com/track/3CLSHJv5aUROAN2vfOyCOh
46,"Something About You",Eyedress,https://open.spotify.com/track/4E6Dxj76ostVEmeefzlDP8
47,"Eleanor Rigby","Cody Fry",https://open.spotify.com/track/62P3CMQAknHW4iftsBD41Y
48,"Vreemde Voor Mij","Sigourney K",https://open.spotify.com/track/2wCZt5PKfSE81iXdRlRhaU
49,"Mon Amour - Remix",zzoilo,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
50,"Everyday Normal Guy 2","Jon Lajoie",https://open.spotify.com/track/2hhFpD32iXUd4GaCu6T4wn
